"","Date","diff","Team","Rk"
"528",2011-01-21,24,"Utah Jazz",3
"529",2011-01-22,-2,"Washington Wizards",26
"530",2011-01-25,17,"Cleveland Cavaliers",2
"531",2011-01-27,10,"Portland Trail Blazers",10
"532",2011-01-28,-17,"Phoenix Suns",6
"533",2011-01-30,13,"Los Angeles Lakers",5
"534",2011-02-01,5,"Sacramento Kings",24
"535",2011-02-04,-4,"Dallas Mavericks",12
"536",2011-02-06,11,"Orlando Magic",1
"537",2011-02-07,-5,"Charlotte Bobcats",15
"538",2011-02-10,-6,"Los Angeles Lakers",5
"539",2011-02-13,3,"Miami Heat",13
"540",2011-02-16,14,"New Jersey Nets",30
"541",2011-02-22,22,"Golden State Warriors",22
"542",2011-02-24,-14,"Denver Nuggets",8
"543",2011-02-26,7,"Los Angeles Clippers",28
"544",2011-02-28,5,"Utah Jazz",3
"545",2011-03-02,12,"Phoenix Suns",6
"546",2011-03-04,4,"Golden State Warriors",22
"547",2011-03-06,6,"Milwaukee Bucks",14
"548",2011-03-09,-5,"Los Angeles Clippers",28
"549",2011-03-11,-3,"Philadelphia 76ers",25
"550",2011-03-13,31,"Milwaukee Bucks",14
"551",2011-03-14,-9,"New Jersey Nets",30
"552",2011-03-16,12,"Indiana Pacers",21
"553",2011-03-18,-16,"Houston Rockets",16
"554",2011-03-19,4,"New Orleans Hornets",20
"555",2011-03-21,10,"New York Knicks",23
"556",2011-03-23,-3,"Memphis Grizzlies",17
